X,Y,fid,id,Info,icon_url
6.43614082671641,60.3687107938774,1,1959,OPGW,./0.png
6.47773732063106,60.379590223118,2,1962,OPGW,./0.png
6.45955814225791,60.3732347882868,3,1963,OPGW,./0.png
6.47773732063106,60.379590223118,4,1965,OPGW,./0.png
6.45899180615424,60.3732854068499,5,1966,OPGW,./0.png
6.50109368290133,60.3843913426818,6,1967,OPGW,./0.png
6.5038912612119,60.3873792083864,7,1968,OPGW,./0.png
6.47773732063106,60.379590223118,8,1970,OPGW,./0.png
6.45899180615424,60.3732854068499,9,1971,OPGW,./0.png
6.5038912612119,60.3873792083864,10,1973,OPGW,./0.png
6.50588076920981,60.3967737258044,11,1974,OPGW,./0.png
6.51277269012042,60.4085215532038,12,1975,OPGW,./0.png
6.52737363439637,60.4135939558563,13,1976,,./0.png
6.47773732063106,60.379590223118,14,1979,OPGW,./0.png
6.45899180615424,60.3732854068499,15,1980,OPGW,./0.png
6.5038912612119,60.3873792083864,16,1982,OPGW,./0.png
6.50588076920981,60.3967737258044,17,1983,OPGW,./0.png
6.51277269012042,60.4085215532038,18,1984,OPGW,./0.png
6.52737363439637,60.4135939558563,19,1985,,./0.png
6.47773732063106,60.379590223118,20,1988,OPGW,./0.png
6.45899180615424,60.3732854068499,21,1989,OPGW,./0.png
6.5038912612119,60.3873792083864,22,1991,OPGW,./0.png
6.50588076920981,60.3967737258044,23,1992,OPGW,./0.png
6.51277269012042,60.4085215532038,24,1993,OPGW,./0.png
6.52737363439637,60.4135939558563,25,1994,OPGW,./0.png
6.54783312026228,60.4228593401172,26,1996,OPGW,./0.png
6.56380232814013,60.4319456290327,27,1998,OPGW,./0.png
6.49874706682586,60.3847970855736,28,,Eksisterende 110mm,./0.png
6.50428570199613,60.396768106137,29,,Eksisterende rør 300mm,./0.png
6.54813381829635,60.422840170276,30,,Har rør dette må me leite opp,./0.png
6.50733153847708,60.3994146524649,31,,OPGW,./0.png
6.50630830566393,60.398323916218,32,,OPGW,./0.png
6.54075603987518,60.4175610225405,33,,OPGW,./0.png
