X,Y,fid,id,Byggninger,X,Y,Adresse,Gnr/Bnr,Fiber Til,Status På,Bestilt Fi,Har I Dag,Type Røyr,Monterings,Info,FiberNr,icon_url
6.43246241895163,60.3685908463029,1,,"5712",,,Fjordavegen,,,,,,,,,,./0.png
6.43258275005311,60.3690266042967,2,,"5707",,,Fjordavegen,,,,,,,,,,./0.png
6.43470558246508,60.3691656984333,3,,"5706",,,Fjordavegen,,,,,,,,,,./0.png
6.43593351452871,60.3693960552933,4,,"5708",,,Fjordavegen,,,,,,,,,,./0.png
6.43793261605371,60.368396712775,5,,"5710",,,Fjordavegen,,,,,,,,,,./0.png
6.43011973666909,60.3699281876706,6,,"5709",,,Fjordavegen,,,,,,,,,,./0.png
6.42796694123093,60.3687723819699,7,,"5711",,,Fjordavegen,,,,,,,,,,./0.png
6.40022658725455,60.3670058557425,8,,"14",,,Vetlås,,,,,,,,,,./0.png
6.40664142195097,60.3660763590751,9,,"8",,,Vetlås,,,,,,,,,,./0.png
6.41023723295237,60.3661127195637,10,,"22",,,Vetlås,,,,,,,,,,./0.png
6.40564814228145,60.3641953511855,11,,"5865",,,Fjordavegen,,,,,,,,,,./0.png
6.40809660499841,60.3643620444296,12,,"5854",,,Fjordavegen,,,,,,,,,,./0.png
6.4100132010882,60.3642705145852,13,,"5884",,,Fjordavegen,,,,,,,,,,./0.png
6.41288068052461,60.3655515514415,14,,"2",,,Vetlås,,,,,,,,,,./0.png
6.41498245409224,60.3651949134137,15,,NODE,,,Fjordavegen,,,,,,,,,,./0.png
6.4119339345683,60.3664857563622,16,,"26",,,Vetlås,,,,,,,,,,./0.png
6.41352674880582,60.3679045373806,17,,"32",,,Vetlås,,,,,,,,,,./0.png
6.41879050496916,60.3687958513657,18,,"38",,,Fjordavegen,,,,,,,,,,./0.png
6.41979633977549,60.3691880882644,19,,"37",,,Vetlås,,,,,,,,,,./0.png
6.41913041157306,60.3664729363983,20,,"5789",,,Fjordavegen,,,,,,,,,,./0.png
6.41976293444591,60.3664217665707,21,,"5785",,,Fjordavegen,,,,,,,,,,./0.png
6.41967946034562,60.3663130888248,22,,"5787",,,Fjordavegen,,,,,,,,,,./0.png
6.44519894085709,60.3726462849674,23,,"5593",,,Fjordavegen,,,,,,,,,,./0.png
6.451019603325,60.3728868113163,24,,"5591",,,Fjordavegen,,,,,,,,,,./0.png
6.4531743194522,60.3727754266458,25,,"5587",,,Fjordavegen,,,,,,,,,,./0.png
6.45569647367751,60.37324002229,26,,"5589",,,Fjordavegen,,,,,,,,,,./0.png
6.45744388326401,60.3731148298471,27,,"5547",,,Fjordavegen,,,,,,,,,,./0.png
6.45779608613012,60.373373342465,28,,"5545",,,Fjordavegen,,,,,,,,,,./0.png
6.45931825045771,60.3745463422261,29,,"5537",,,Fjordavegen,,,,,,,,,,./0.png
6.46052448439095,60.3742244141856,30,,"5536",,,Fjordavegen,,,,,,,,,,./0.png
6.46181558685185,60.3753969375478,31,,"5517",,,Fjordavegen,,,,,,,,,,./0.png
6.47083734810145,60.3775056821223,32,,"5477",,,Fjordavegen,,,,,,,,,,./0.png
6.47768175359605,60.3799769706982,33,,"5413",,,Fjordavegen,,,,,,,,,,./0.png
6.47803580357576,60.3800074725197,34,,"5411",,,Fjordavegen,,,,,,,,,,./0.png
