X,Y,fid,id,X,Y,icon_url
6.43614082671641,60.3687107938774,1,142,,,./0.png
6.45955814225791,60.3732347882868,2,143,,,./0.png
6.47773732063106,60.379590223118,3,144,,,./0.png
6.50109368290133,60.3843913426818,4,145,,,./0.png
6.5038912612119,60.3873792083864,5,146,,,./0.png
6.50588076920981,60.3967737258044,6,147,,,./0.png
6.51277269012042,60.4085215532038,7,148,,,./0.png
6.52737363439637,60.4135939558563,8,149,,,./0.png
6.54783312026228,60.4228593401172,9,153,,,./0.png
6.56380232814013,60.4319456290327,10,155,,,./0.png
6.50588076920981,60.3967737258044,11,157,,,./0.png
6.51277269012042,60.4085215532038,12,158,,,./0.png
6.52737363439637,60.4135939558563,13,159,,,./0.png
6.54783312026228,60.4228593401172,14,163,,,./0.png
6.50588076920981,60.3967737258044,15,167,,,./0.png
6.51277269012042,60.4085215532038,16,168,,,./0.png
6.52737363439637,60.4135939558563,17,169,,,./0.png
6.54783312026228,60.4228593401172,18,173,,,./0.png
6.43519446826163,60.3692833678441,19,,,,./0.png
6.4333238546013,60.3691035570165,20,,,,./0.png
6.50630830566393,60.398323916218,21,,,,./0.png
6.50733153847708,60.3994146524649,22,,,,./0.png
6.51227381573498,60.4083077992211,23,,,,./0.png
6.54075603987518,60.4175610225405,24,,,,./0.png
