X,Y,fid,id,Skap,icon_url
6.45921655261562,60.3737089124926,1,261,,./0.png
6.47781376736274,60.3798430240467,2,262,,./0.png
6.50148997939381,60.3881039743694,3,264,,./0.png
6.50537523129047,60.3968211525654,4,265,,./0.png
6.51275350963253,60.4089138430006,5,266,,./0.png
6.52817843446452,60.415201694594,6,267,,./0.png
6.52604752825308,60.4150078594618,7,268,,./0.png
6.56342787064996,60.4333547309107,8,272,,./0.png
6.56510507922449,60.434352778805,9,,,./0.png
6.56112510167275,60.4331179283167,10,,,./0.png
6.55825109883795,60.4323096189228,11,,,./0.png
6.55579820586856,60.4293459700765,12,,,./0.png
6.55258442565048,60.4283892934842,13,,,./0.png
6.55003897585224,60.4265317387526,14,,,./0.png
6.54854941799398,60.4257729772903,15,,,./0.png
6.54705310108302,60.4232637957572,16,,,./0.png
6.54550624425545,60.4233434430528,17,,,./0.png
6.54600139328951,60.4237830155853,18,,,./0.png
6.54563546475819,60.4242485596964,19,,,./0.png
6.54338860226744,60.4225505905224,20,,,./0.png
6.54118743011251,60.4214785854073,21,,,./0.png
6.53955801040653,60.4217299609388,22,,,./0.png
6.53898267128993,60.4178750865472,23,,,./0.png
6.52414146322045,60.4138659997787,24,,,./0.png
6.51282776418373,60.4097335079779,25,,,./0.png
6.51181365193648,60.4068009120674,26,,,./0.png
6.51113968970065,60.4057587738372,27,,,./0.png
6.5056131684377,60.3991357439685,28,,,./0.png
6.50329912727274,60.3970953976716,29,,,./0.png
6.50336703714588,60.3942692290995,30,,,./0.png
6.50051301057566,60.3869150123507,31,,,./0.png
6.49997287152144,60.3855405894113,32,,,./0.png
6.50231974508927,60.3821574913393,33,,,./0.png
6.49674360296019,60.3830270934958,34,,,./0.png
6.45533750829404,60.372521627634,35,,,./0.png
6.45098990355914,60.3724523371068,36,,,./0.png
6.43074941265372,60.3700164701764,37,,,./0.png
6.4189655650241,60.3661911401187,38,,,./0.png
6.41357971218559,60.3653751885529,39,,,./0.png
6.41316641191145,60.3677141469503,40,,,./0.png
6.40726173628381,60.3660478230272,41,,,./0.png
6.4089689964737,60.3644726812578,42,,,./0.png
6.49912301462823,60.3842155454098,43,,,./0.png
6.53744072383672,60.418035220621,44,,,./0.png
6.49872015297441,60.3845850546804,45,,,./0.png
6.43616562596205,60.3686905323721,46,,,./0.png
6.51769960261349,60.4109116438304,47,,,./0.png
6.50101952833974,60.384466491013,48,,,./0.png
6.53650298185795,60.4167861885515,49,,,./0.png
6.54595927020984,60.4250636695389,50,,,./0.png
